區鄉,里村,納稅單位,綜合所得總額,平均數,,中位數,,第一分位數,第三分位數,標準差,變異係數
文山區,景行里,2549,2725453,,1069,,634,265,1281,2753.31,257.51
文山區,景仁里,1993,2370631,,1189,,692,287,1533,1589.48,133.63
文山區,萬有里,1893,2066282,,1092,,643,269,1335,1934.02,177.18
文山區,景慶里,2108,1875695,,890,,543,246,1162,1050.49,118.06
文山區,萬隆里,2414,2521044,,1044,,621,254,1325,1378.24,131.97
文山區,萬祥里,1539,1409570,,916,,555,237,1195,1123.73,122.69
文山區,萬年里,1838,1858701,,1011,,589,255,1274,1359.59,134.44
文山區,萬盛里,1598,1565408,,980,,580,263,1297,1170.94,119.53
文山區,萬和里,1160,1467313,,1265,,702,289,1511,1922.31,151.97
文山區,興福里,1795,1671796,,931,,559,248,1144,1293.47,138.88
文山區,興得里,2099,1852780,,883,,537,236,1147,1107.15,125.43
文山區,興豐里,1657,1917445,,1157,,614,260,1441,1524.73,131.76
文山區,興旺里,2846,2633517,,925,,569,269,1205,1116.25,120.63
文山區,興光里,1341,1596995,,1191,,595,274,1395,1772.61,148.85
文山區,興安里,2310,2790303,,1208,,649,278,1436,1848.35,153.02
文山區,興昌里,2324,2782269,,1197,,626,263,1428,1940.62,162.10
文山區,興泰里,1434,1462417,,1020,,640,258,1288,1281.19,125.63
文山區,興業里,1843,1788544,,970,,586,264,1195,1282.39,132.14
文山區,景東里,2319,2205122,,951,,574,254,1222,1270.45,133.61
文山區,景華里,1884,1947579,,1034,,591,261,1285,1329.87,128.65
文山區,興家里,2501,2099043,,839,,533,253,1045,1278.75,152.36
文山區,萬芳里,2638,2537620,,962,,554,236,1198,1327.64,138.02
文山區,木柵里,3135,4351078,,1388,,617,272,1459,3873.81,279.11
文山區,博嘉里,1866,2196401,,1177,,594,253,1261,4011.17,340.78
文山區,樟腳里,1812,2135744,,1179,,610,274,1294,1886.12,160.02
文山區,老泉里,209,106611,,510,,356,164,655,568.59,111.47
文山區,木新里,2912,2512072,,863,,495,224,1044,1226.17,142.14
文山區,指南里,1271,1397137,,1099,,574,232,1398,1649.48,150.06
文山區,華興里,3011,3635100,,1207,,628,264,1405,2145.37,177.70
文山區,順興里,2304,2061124,,895,,523,242,1105,1233.89,137.93
文山區,萬興里,2855,3537115,,1239,,607,260,1446,2231.31,180.10
文山區,明興里,2294,2049708,,894,,560,245,1142,1287.48,144.09
文山區,明義里,1084,887876,,819,,410,169,912,1180.20,144.09
文山區,試院里,2307,2474907,,1073,,611,272,1332,1629.10,151.86
文山區,樟新里,1931,2136037,,1106,,609,270,1298,1687.49,152.55
文山區,樟林里,2772,2474028,,893,,543,244,1181,1134.45,127.11
文山區,忠順里,1514,2008015,,1326,,638,272,1435,4144.49,312.49
文山區,萬美里,2332,2633805,,1129,,528,229,1278,2033.05,180.01
文山區,興邦里,1756,1724032,,982,,586,252,1247,1287.04,131.09
文山區,樟樹里,1475,1351136,,916,,519,232,1130,1972.86,215.37
文山區,政大里,2611,4139952,,1586,,935,367,2077,2023.34,127.61
文山區,樟文里,1941,1836049,,946,,598,260,1212,1187.79,125.57
文山區,其　他,57,32353,,568,,374,218,673,667.72,117.64
文山區,合　計,87217,92591866,,1062,,590,256,1284,1892.13,178.23
南港區,南港里,2058,2109345,,1025,,542,242,1213,1573.67,153.54
南港區,三重里,2937,5567211,,1896,,893,335,2207,3854.76,203.36
南港區,新富里,1290,1029856,,798,,465,210,944,1087.91,136.27
南港區,中研里,3285,3271788,,996,,559,256,1213,1577.69,158.41
南港區,鴻福里,1538,1370542,,891,,554,244,1103,1233.01,138.37
南港區,東新里,2338,1943507,,831,,473,220,1005,1284.59,154.53
南港區,西新里,1591,1246885,,784,,463,234,965,1111.25,141.79
南港區,新光里,1229,1247792,,1015,,487,230,1068,2886.01,284.25
南港區,百福里,1681,1348455,,802,,522,242,1008,956.31,119.21
南港區,玉成里,1622,1337172,,824,,503,232,1075,1005.73,122.00
南港區,成福里,2458,2278200,,927,,523,247,1121,1777.93,191.82
南港區,中南里,1109,758766,,684,,440,215,839,926.75,135.45
南港區,舊莊里,2701,1878385,,695,,438,210,874,868.88,124.94
南港區,九如里,1964,1587738,,808,,491,211,1033,1004.41,124.24
南港區,東明里,2055,2067649,,1006,,544,248,1188,1500.45,149.13
南港區,合成里,2146,2391361,,1114,,555,250,1121,2256.29,202.48
南港區,聯成里,1635,1284697,,786,,501,223,1032,920.23,117.12
南港區,萬福里,1513,1498576,,990,,531,251,1149,1594.13,160.95
南港區,仁福里,1735,1618763,,933,,542,262,1148,1233.30,132.19
南港區,重陽里,2015,3315960,,1646,,828,342,2055,2598.24,157.89
南港區,其　他,54,35440,,656,,482,340,797,520.83,79.36
南港區,合　計,38954,39188089,,1006,,536,244,1153,1853.51,184.24
內湖區,紫陽里,3134,3444169,,1099,,622,277,1344,1550.86,141.12
內湖區,紫星里,2727,2611901,,958,,566,258,1151,1398.41,146.00
內湖區,湖興里,2674,2621528,,980,,586,257,1230,1414.46,144.28
內湖區,大湖里,2048,2467574,,1205,,670,278,1419,1886.66,156.59
內湖區,紫雲里,1892,1849970,,978,,553,262,1176,1726.29,176.55
內湖區,瑞陽里,2627,2824167,,1075,,613,270,1311,1582.33,147.19
內湖區,清白里,3245,4846288,,1493,,755,285,1752,2588.21,173.30
內湖區,港墘里,2119,2324535,,1097,,613,277,1345,1645.13,149.97
內湖區,西湖里,2448,2040109,,833,,501,238,1020,1150.70,138.08
內湖區,石潭里,1523,2107780,,1384,,633,265,1430,2960.01,213.88
內湖區,葫洲里,2585,3211567,,1242,,715,311,1569,1715.65,138.09
內湖區,五分里,3422,2960004,,865,,554,266,1153,965.65,111.64
內湖區,內湖里,2487,2843480,,1143,,584,247,1298,2070.71,181.11
內湖區,週美里,3243,4990276,,1539,,679,288,1595,3284.19,213.43
內湖區,內溝里,1602,1459641,,911,,488,231,1082,2638.24,289.56
內湖區,碧山里,2333,2372358,,1017,,575,257,1210,1721.55,169.30
內湖區,瑞光里,1567,1406244,,897,,560,256,1114,1115.84,124.34
內湖區,金龍里,1812,1554196,,858,,504,232,1068,1139.85,132.89
內湖區,行善里,2410,2296388,,953,,566,268,1191,1164.62,122.22
內湖區,湖濱里,3003,4009039,,1335,,657,280,1501,2795.47,209.40
內湖區,東湖里,2814,2369853,,842,,508,251,1012,1152.61,136.86
內湖區,樂康里,2674,2208588,,826,,532,262,1074,992.07,120.11
內湖區,西安里,2421,2414603,,997,,561,258,1206,1849.92,185.48
內湖區,西康里,3484,4100510,,1177,,643,279,1362,1962.82,166.77
內湖區,港富里,3170,3492435,,1102,,597,280,1314,1651.45,149.90
內湖區,港華里,3208,3600676,,1122,,624,271,1357,1781.22,158.70
內湖區,港都里,1959,2282690,,1165,,670,287,1362,2202.14,188.99
內湖區,金瑞里,2298,2185810,,951,,533,255,1147,1455.49,153.02
內湖區,湖元里,2117,1971880,,931,,534,242,1109,1338.52,143.70
